condition,variant,seed,mean_reward_seed
clean,baseline,101,9.44
clean,baseline,102,9.24
clean,baseline,103,59.08
clean,baseline,104,39.68
clean,baseline,105,60.32
clean,awareness,101,9.44
clean,awareness,102,9.24
clean,awareness,103,59.08
clean,awareness,104,39.68
clean,awareness,105,60.32
stress,baseline,101,12.28
stress,baseline,102,12.52
stress,baseline,103,40.36
stress,baseline,104,29.76
stress,baseline,105,35.4
stress,awareness,101,12.28
stress,awareness,102,12.52
stress,awareness,103,40.36
stress,awareness,104,29.76
stress,awareness,105,35.4
